,reviews,ratings,date
10,"Amazingly enough, walking in the Childhood Story Land, seeing things that seemed to be a dream or a movie is an unique experience almost beyond our wildest dreams, where the line between real life and made up story is very subtle and imagination meets the tangible. Photos and videos may express a little, but the real experience of the visit is unforgettable. Still the visit is quite expensive and a full experience cannot be completed in a day or two.",5/5,11 months ago on  Google
11,"If you like theme parks Disneyland is a must. Even if you don’t like theme parks Disneyland is worth checking out. It’s very entertaining for both children and adults and there is plenty of rides, food, special events for you to enjoy yourself. Even if you don’t get a genie plus pass lines move fairly quickly and the staff is super friendly. I’d recommend checking out the new rise of the resistance ride they recently set up. Good times to be had at Disneyland.",5/5,8 months ago on  Google
12,"Amazing experience with my family. My kids love it! I recommend going to the park right as it gets open at 8am, especially if you don't have the Fast Pass, there aren't too many people in line for the rides then and you get to go on more rides. Just be prepared to walk for miles and miles throughout the day and to be standing for long periods of time. If there's little ones attending, I would definitely recommend bringing strollers. Everything was worth it though. Happiest place on earth.",5/5,2 weeks ago on  Google
13,"This was an amazing experience that we enjoyed in the rain and cold weather, we got the genie app and lightning lanes which helped out immensely. With the app we were able to see real time waits for ride lines couple days before, and schedule accordingly on the days that we were there. You can also search anything, like restrooms and restaurants. We were able to book walk up appointments for some of the restaurants and also mobile order food and coffee at some locations. This was very convenient while managing our time between meals attractions and shows.",5/5,a year ago on  Google
14,Not the same as it used to be. Not buying Genie + will make you spend a lot of time in lines and for some attraction you will even have to pay  and extra individual lightning lane to ride them. To have an estimated they let 15 people from stand by line for every 60 lightning lane being said that they have priority. So in order to have a great day is recommended to buy genie + or be relaxed to wait a lot for attractions. Remember to book in advance your ticketsHope that fast passes come back 🥲,4/5,a month ago on  Google
15,"I’ve been a long time Disney regular. Me and my family go every other week or so with our magic keys, and before with the annual passes.This park is really the best experience a family can ask for. The different areas, foods, themes, characters is just endless! Even after going for so many years we still come across surprises.Our family loves Disneyland and we pretty much built a large amount of our experiences at this park. I am grateful for the magic 🏰 🪄",5/5,4 months ago on  Google
16,It’s best place to enjoy the memories of childhood.. best experience so far.. the adventure rides are just so amazingly designed. I really loved the space mountain and Star Wars : rise of resistance. Another one that completely shook me was a beautiful boat ride into,5/5,11 months ago on  Google
17,"Great Trip!We had a great trip to Disney for my graduation. The parks were really crowded, so have purchase the lightning lane which save enough time to enter most of the rides, the employees were nice and the parks were so clean. People were cleaning and painting the entire time we were there. Very impressive to keep parks with that many people clean. I made a mistake not preparing ahead of time, if you are visiting this place, try to prepare ahead of time, there is an app available to check for activity and the wait time, by just having the app alone will save you a lot of precious time. Instead of standing in line to order food, i click on the app and waited 20 mins while many people are still waiting in line. Don't worry too much and make sure you have enough sleep and energy for all the fun.",5/5,4 months ago on  Google
18,I mean what can I say but wow! I'm very impressed. The only thing that sucks is the long lines but the atmosphere makes up for that. I mean it's Disneyland and it's the summertime so u know how the lines get. My kids were so excited and they slept good when we left. See u tomorrow Disneyland California adventure,5/5,6 months ago on  Google
19,"Went on a family trip and we loved every minute of it. Now for the mothers who love to save a penny or 3, pack a lunch for the kids. You won’t regret it. Get an electric wheelchair if you have to because there will be a ton of walking. Trust me.",5/5,2 months ago on  Google
20,"It’s one great experience to go to Disneyland, plenty of rides for anyone, small kids, thrill seekers, star wars fans. Many good food options, the park is pretty clean too. Staff is helpful and kind. The fireworks show (which is on select nights) exceeded my expectations. If you have time and money, and are nearby, Disneyland is a must.",5/5,10 months ago on  Google
21,"Such a fun place for both kids and adults, but just that it’s too crowded. Maybe due to the Halloween season. We had to wait in a long line to take picture with Minnie and didn’t get to take picture with other characters. The shuttle bus from the parking lot was also a long wait. We have to always look into the app and check the waiting time. But still, it is very entertaining and unforgettable experience.",5/5,2 months ago on  Google
22,"Local tip: Go on a Wednesday, it’s a bit cheaper, less crowded and best on a rainy day! Planned a visit in  December of 2019, just weeks  before the covid pandemic and this was my last “normal trip” to Disneyland. Make sure to buy your ticket and parking pass before your visit. If it’s within the budget buy the guided tour and  divide the cost between the adults.",5/5,8 months ago on  Google
23,"Pros: I was here in late September, so the park wasn’t too crowded, but there were still lots of people. I paid for a 3-day park hopper and didn’t have to pay extra to get on rides. I was able to do all the rides, see shows, and did everything I wanted to do in both parks within 3 days.Cons: I was here 20 years ago, and the same magic is no longer here. I would say that my experience was underwhelming for the price I have already paid for. Many rides are old and dusty. No parades, but there’s a Fantasmic. Not that many opportunities to do characters meet and greet. Some people need to pay extra to get on rides and take pictures with the characters which add up pretty quickly. Almost everything must be done through an app that tracks your information. Universal Studios has done a better job than Disney.",4/5,3 months ago on  Google
24,Came here for the first time for myself and my two sons! We loved it. Stayed for the whole day. Disney expectations were met. The food was good. The rides were exciting. And workers were so nice.,5/5,10 months ago on  Google
25,There's nothing quite like Disneyland. Try to come right when it opens to miss the crazy lines. Workers were friendly and the rides were worth the wait. The Park Hopper is nice so you can visit both parks in the same day.,5/5,6 months ago on  Google
26,"First time in Disneyland Park and I absolutely loved it! We went there for only one day but we managed to do everything we wanted to. It is really an amazing experience for all ages, no matter if it‘s an adult or kids. Definitely recommend and everyone should have done this at least once in their lifetime. Even if you are not a huge Disney fan, you should definitely check it out!",5/5,3 weeks ago on  Google
27,"Amazing park. All old Disney style cast members, full of love and knowledge. I was happy to hear that the law in California made Disney keep their jobs. It’s a better experience than in Disney World in Florida since the laid off all old staff and hired a lot of rude cast members to replace old employees in Orlando. We’ll Done Disneyland and California laws.",5/5,7 months ago on  Google
28,This was an awesome experience.Rise of the Resistance defines a new level of theme ride enjoyment.The size is vast.Preconditions are extensive.You are immersed in the action.The main event last a satisfying amount of time.This will be my most desired experience when I return.,5/5,6 months ago on  Google
29,"After visiting Disney World in Florida multiple times i was thrilled to visit the original Disneyland Park. Everything was spotless, entrance line moved quickly and without delays, and the foods found in the park were exceptional. Do stop by New Orleans for a decadent Monte Cristo sandwich. Best I ever tasted! Disney magic sure works overtime here!",5/5,6 months ago on  Google
30,We had a great time here. It is amazing how much attention was paid to the details. Having so many people working to keep customers happy is impressive. Disneyland is a must-see if you like theme parks.,5/5,3 months ago on  Google
31,Disneyland is great for now... With covid it's a little harder and I wish there were more 6 feet apart places to stay but it's not too bad. A lot more people wear masks and they're required on rides I think.,5/5,11 months ago on  Google
32,"I have been coming here since I was 3 years old. I am almost 45. It only seems to get better. I was however disappointed with the new lightning line system. You can only reserve one line at a time and after 10 am you can forget about a ride less then 2 hours out for a lightning line reservation. If you stand in line for a regular wait time your looking at 1 hour minimum. As far as the views and shows and smiles on the children's faces go, we'll that is priceless. I pray I will be able to return here for the next 30 plus years and hopefully by then they will have mastered a way to speed up the lines. Wishing upon a star will never get old and the joy I felt when arriving and leaving is still as magical as ever!!!",5/5,7 months ago on  Google
33,"The holiday lights were amazing! This was the first time we got to come see them, and it is definitely a different atmosphere! Definitely puts you in the holiday mood,  even when you go after the holidays!",5/5,a year ago on  Google
34,"Another great 👍 park to visit. This was day two of our park hopping while in Cali. Personally I enjoyed the Disneyland side more than I did the California Adventure Park but for some it’s the other way around. For me I guess I was more familiar with some of the themes in Disneyland which made me feel right at home versus having the ask the kiddos what is that, or what movie was that 😂Again both are great parks and you really can’t go wrong with either. This was just another great chance to create memories with the ones I ❤️",5/5,6 months ago on  Google
35,"God Bless 🙌🏽 this magical place. Perfect for lil ones. I took my 5 year old here for summer ☀️ Vacation and we were blown away. The rides, the attractions, the fireworks, the night electric parade. Everything was perfect. Worth every penny. We spent the whole day there. Started at  ""rope drop"" and left after fireworks 🎆 bring a stroller because the walking is brutal. A portable fan is a MUST! By 2pm the heat 🔥 is crazy. Food is extremely affordable. The gift shops have good air conditioning to cool down...lol. love love love this amusement park. Definitely check it off your bucket list.",5/5,3 months ago on  Google
36,"Just spent two days at Disney and one in California Adventure.It’s changed a lot over the years, but those changes are for the better and maintains the charm I found as a child.Don’t focus on the costs as you can’t and don’t want to put a price on making memories.  We had fun and took a lot of pictures.Genie pass was worth the cost as you can cut down on wait times at the most popular rides except Star Wars, that is a separate $20.00, but again we’ll worth it.  We didn’t spend that much time waiting in lines, in the heat.",5/5,4 months ago on  Google
37,"I love Disneyland BUT the amount of strollers is ridiculous. You can barely walk in certain areas because it is FULL of stroller parking.  I've read reviews that food had gone downhill since post pandemic and I have to agree. Also I've never seen a difference in the crowd volume since reservations were implemented. Cast Members do not have the happy attitude they once did. But on the positive side, I do love Halloween and Christmas time there. Lots of great photo ops.",4/5,a month ago on  Google
38,"Loved this place, truly is magical. Walking through Star Wars area is like being on a movie set. Lines were not too crazy for the most part. The app to see your location and ride wait times is PRICELESS, A MUST HAVE download and use it. You can also pre order food via this app which is an amazing time saver. Staff are beyond belief sincere, helpful, kind. Went for two days, should shoot for three and you would probably be able to ride every ride. Jambalaya is the BOMB! You can get it in New Orleans Square. Definitely cannot  miss canoeing on their mini river, my 7 year old thought it great fun. I could go on and on, but if you have the opportunity,  GO!!!",5/5,11 months ago on  Google
39,"Disneyland is truly a place that captures the imagination.  A great park to explore, learn, and be entertained.  Mickey’s Mix Magic with Fireworks was one not to miss.  Download the App for the best experience.",5/5,9 months ago on  Google
40,"It was a great day at Disneyland park.Things are well arranged.New Star Wars attraction was awesome!Its only pretty expensive. When you go there with 3 persons, eat something, drink something, do a speed pass for a single attraction and buy a souvenir, you end up at about 750 dollars.Having said that, it was still worth the money, we had a great day!",5/5,5 months ago on  Google
41,Came here with family. Disneyland park is always a great experience for me at least. Especially with the COVID-19 pandemic the wait for the lines isn't so bad. The popular rides are a little more of a wait to be honest. The coffee cold brew by star wars was really great and tasty. I would recommend getting it I have it here in one of the photos but forgot the name of it. The Uber pick-up and drop off was super convenient since I had to leave my family a little earlier due to going to work around 7pm. Every staff member is so friendly and willing to help! I forgot to mention when you arrive the tramp isn't working but it's only a 20min walk to the main entrance of the park. Overall I will be coming again but will try California adventure next time.,5/5,10 months ago on  Google
42,"Disneyland- It's iconic!I love the blend of nostalgia from my youth and the new additions to the park.It was my first time seeing Galaxy's Edge, which is beyond incredible!",5/5,7 months ago on  Google
43,"While there are reasons why Disney could make some not have a great day such as prices and long lines, the way I feel after a day of Disney gives me no choice but to give it a 5 Star. It really is magical as soon as you step foot on property. I feel transported into another reality and completely forget about the outside world. We went on Wednesday during the Halloween season so all of the decorations were up. A lot of new cool things to see and editions for the Holiday. The food is always great and the rides are amazing. This time I visited was busier than normal and even though we had the genie plus we still had to wait a little longer than normal. I wish I could come here more often though especially during those days at work when you want to be transported to a Fantasy land.",5/5,3 months ago on  Google
44,"Definitely full of magic. I recommend bringing a hat, sunglasses, and cold water. The amazing rides were age appropriate, and follow well developed safety rules. The snacks were good, and the scenery was amazing!",5/5,2 months ago on  Google
45,"The experience is perfection. You get a sense of Disney California magic kingdom but more and in my opinion, BETTER. You will wait in line for a long while but at least that experience is familiar. Lol.10/10. Would recommend before you leave this earth. 🙃✌️",5/5,2 months ago on  Google
46,"It's Disneyland, it's wonderful but way over crowded and way to expensive! Lines are crazy! Shortest ride on a Monday was an hour and that was to ride dumbo for 5 minutes. Also took us over an hour to get into the parking garage and pay $35 to park. It was a great day and my kids thought it was amazing and I love watching them enjoy it. But just way too many people! The new star wars stuff is pretty cool but two hours for a single ride is ridiculous!",4/5,4 months ago on  Google
47,Fantastic experience and already looking forward to the next time I get to visit! The Star Wars Rise of the Resistance ride was incredible. Make sure to get to the park early because the line can get really long later in the day.,5/5,7 months ago on  Google
48,"My favorite Disney Park!  Many of the rides operating are originals from 1950s (with refurbishments).  Of these, I especially enjoy the Matterhorn bobsleds, Haunted Mansion, and Thunder Mountain railroad (which were added later but are still relatively vintage).  Other, newer rides like Splash Mountain and the Star Wars rides live up to expectations.  The electric parade has returned and should not be missed!  In terms of dining, the Blue Bayou Terrace was a good experience.",5/5,4 months ago on  Google
49,"I spent two days at Disneyland; here are things to know before going.1. Be ready to drop a pretty penny on food alone. It is about 16$, the cheapest for items like chicken tenders.2. Food is allowed. You can bring in your food, like snacks and drinks.3. The Disneyland app will be your friend for knowing wait time estimates for rides.4. Check the app for showtimes; the Fantasmic show is fantastic!5. There is security, and they check thoroughly. They also have cops with dogs.6. Be ready for lots of walking. I recommend bringing an extra pair in case.7. There are lockers available to store your items for the day.",4/5,2 months ago on  Google
50,8/10. The most magical place on Earth has really lost all of its magic.🥺 We visited last Saturday and by 9am it had already seemed like the park had reached capacity by the amount of people that were in the park at one time. Even with Disney Gene we waited hours to get on every ride and barely got to eat. It seems that even though Disney was trying to limit guests by making reservations but it feels like they don't even look at the amount of people that are coming into the parks each day. It was so incredibly crowded we left at 4pm because we were like sardines in a can. Really hoping Disneyland will gain back some of the magic soon.❤️,4/5,2 months ago on  Google
51,Weekends get very crowded so it was worth it to get the Genie Pass to get Lightning Lane (Fast Passes) to skip the line on the most popular rides. Most rides has 50 min and above time but with the Genie pass we only had to wait between 10-20min a ride. The day we went was also Dapper Day so that may be why it was more crowded than expected on a weekend.,5/5,2 months ago on  Google
52,Star Wars: Galaxy’s Edge and Rise of the Resistance in particular was everything and more. The energy is different from Disney World but food was much better. It was definitely a wonderful experience. I highly recommend the place.,5/5,6 months ago on  Google
53,"Lighting pass is the way to go! But let’s be clear, it doesn’t cover the big ride, Star Wars . You have to pay extra for that specific lighting pass.For Star Wars i recommend being at the park early or late. Wait times are about 1.5-2 hours.Bring your own water and snacks they are allowed!",4/5,10 months ago on  Google
54,"The happiest place on earth is a great slogan. I recommend you buy the genie pass, helps a lot and saves precious time. You won't be able to visit everything in one day, 2 is the average, take more if you have the time and money.",5/5,3 months ago on  Google
55,"Disneyland is an American staple most kids grow up knowing what Disneyland is :)I remember going my first few times when I was 5-6 years old:) Then again when I was around 9-10 years old. I'm not big on rides, but there’s plenty of other awesome things to do here:)Great food sweet deserts & cute souvenirs:) Mickey Mouse and Minnie Mouse are so adorable:)",5/5,2 months ago on  Google
56,"The Happiest Place on Earth! A must visit at least once in your lifetime. Plenty to do for both kids and adults. Lots of classic characters, rides and nostalgia as well as newer attractions such as Galaxy’s Edge which are out of this world! Parades and fireworks shows are a highlight. Be sure to get Genie+ to spend less time waiting in lines. Food is expensive here and the quality could be better, but you can bring your own food if you want to save on money (this place is expensive!)",5/5,a month ago on  Google
57,"We celebrated our 1st anniversary at Disneyland. I hadn’t been in over ten years, so there were many incredible sights and shops. However, the new Star Wars attraction was not worth waiting in line for over 2 hours. The detail and design are fantastic, but the ride primarily walks through several rooms with audio and video effects. When you get to the actual ride is a moving cart holding nine riders and shifts from room to room with lots of audio and video along with cool holograms, but other than that, there is little “ride effect” if you're a die-hard SW fan. Like a ship-like experience, then you'll probably enjoy it. The attraction, to me, didn't justify the 2 1/2 hour wait.",5/5,3 months ago on  Google
58,I love you Disneyland. But today was way overcrowded. We were able to go on 4 rides only. My kid spent more time waiting than enjoying :( Please reconsider capacity limits to make sure every visitor gets a magical experience.,3/5,2 months ago on  Google
59,"Caught the very tail end of the holiday season lights and, despite the crowds, had a wonderful time. There’s nothing quite like Disneyland when you’ve got kiddos in your group. The huge downside of course is the lightening lane (the kiddos in our group called it the privilege lane) which is essentially the easiest way to charge ridiculous amounts of money for something that already costs ridiculous amounts of money. Just casually reestablishing economic classism to the detriment of a vast majority of individuals present ✌️",4/5,6 months ago on  Google
60,"Breaks my heart to leave this review, but we are done with Disneyland. After many years of being the ""crazy Disney fans"" we will no longer be going back. Prices have risen so high, the sizes of all of the food has shrunken so much, quality is so so low now, crowds are almost unbearable even for us, and the magic is gone. They are charging for every single last possible thing they can, adding so much unexpected extra cost to your trip. We felt like we had to pay for all of the extra things in order to make our trip worth it. Employees were so incredibly unhappy and treated the guests terribly often. We were in shock to just how many ""ornery"" employees we witnessed. This says a lot about how disgusting Disney has become, because they are more unhappy than ever before. We genuinely felt the whole time that we paid so much money to listen to employees yell, and I mean literally YELL at children for not properly wearing masks. It was awful. We no longer feel right supporting a company that does not care for it's employees and is becoming one of the most greedy/money hungry companies on the planet. Disney needs to drastically change things or they will continue losing the magic and guests just won't return, even hardcore ones like us. We never believed we would be the ones to not be going back.As you can see in our photos we still managed to enjoy our trip. We are happy that we were able to have one more (very very expensive) magical trip with once in a lifetime experiences....buuut cya later Disney, we are excited to give our money to and support GOOD companies from now on.",1/5,10 months ago on  Google
61,The park itself is great. The wait times and crowds are the only thing I don't like. I wish there was a 4.5 star I could give. I understand there is nothing to fix that without drastically limiting admission and thereby preventing many people from ever experiencing Disneyland. There were some technical difficulties on a couple rides while we were there and that was disappointing but it happens. Better to be safe. I LOVE the Galaxy's Edge area! I wish I could have spent more time there.,5/5,7 months ago on  Google
62,"Came into Disney as a skeptic but now I'm a full believer in their parks. Both parks were absolutely magical and had very fun and interesting rides. If you are a big roller coaster person, make sure you check out Space Mountain and Incredicoaster!",5/5,2 months ago on  Google
63,"Rise of the Resistance is one of the best rides there currently. Definitely use the mobile app to order food, it will save you time. If there is something you want to do that needs reservations make them asap or risk not getting in. Disneyland has water bottle refill stations, didn't see one at California Adventure. Bring a backpack,snacks, hat, sunglasses, mini fan, water bottle if you plan on staying all day. You can snack in line for rides. Mobile app wait times are pretty accurate. If you want a dole whip, definitely mobile order it. If you're saving spots for the parade and have little ones be sure to save the front row or risk selfish adults cutting in front of your kids.",5/5,7 months ago on  Google
64,Attention to all military guest if you purchase the 3 day park hopper;  if you’re a disabled veteran with legitimate disability that prevent you from standing for hours in line in direct sunlight DO NOT PURCHASE the Genie 🧞‍♂️ + . What you need to do is register as disabled at Disneyland’s guest services office they will even reserve your first ride time for you. Not only do you as the veteran skip long wait times but everyone in your party may enter the rides with you at your appointed times.,5/5,5 months ago on  Google
65,"It was a great day out, it’s expensive but if you take into consideration the extent of decoration, how much staff there were to keep the lines moving and everything clean.The rides were a lot of fun but the one thing I don’t think it’s worth queueing for the the haunted house. I think the wait was something ridiculous like 85mins and it wasn’t worth it AT ALL.Rides etc are fun but way too many people in the park, would be great if they limited numbers but that’ll never happen.",4/5,3 months ago on  Google
66,Always great fun to be had at Disney. When you see the fresh fruit vendor it is a good idea to buy an extra (for me!). Harder to find later on and the fresh fruit is refreshing. While masks are required on the rides and inside the shops there were not restrictions while outside in the open air and sunshine. *If you don't have a mask to board a ride they will notice and offer one. They expect you to comply to be allowed on the ride.,5/5,7 months ago on  Google
67,"Disneyland park is a magical experience for sure! You will definitely have fun at this place.Pros:- fun rides- Genie pass- huge variety of shops and food choices-parade, fire works- everything is so much fun!Cons:-long wait times (even with the Genie pass..  you can only reserve a spot for 2 or 3 rides at a time. If you try to reserve more it'll tell you to wait a few hours)-expensive (lemonade is $4.99 USD and half the cup is ice). Meals are $20-30$ USD for each person-the heat-the wait times in the sun (bring a fan!!)",5/5,5 months ago on  Google
68,This place never misses! I got to spend ten days here and it was amazing! Wasn’t so packed and the park was clean. The food was great and the new Star Wars cantina was bomb. Highly recommend.,5/5,4 months ago on  Google
69,"It’s been 3 years since I’ve been back. Loved all the old rides - Indiana Jones, pirates, space mountain, haunted mansion.The new Star Wars area was great - we rode millennium falcon which was fun. Would love to have rode the Star Wars resistance ride, but it was closed.Loved eating the churros, corn dog, dole whip ice cream and more. Going on a Monday was amazing because the lines were so short!Also loved using the DLR app because it showed you true wait times.Can’t wait for all the rides open up again!",5/5,11 months ago on  Google
70,"Disneyland is amazing! My family and I prefer Disneyland over California Adventures but that doesn’t mean we don’t appreciate California Adventures- we make time for both parks on any given day.We have the Magic Key and for us there’s a few things we noticed;Indiana Jones’ Adventure is best enjoyed if you sit in the back of the jeep (If you are average or above average height- otherwise others, especially small children would probably enjoy riding in the front for viewing purposes.) because you feel the ruggedness more and you get a better view along the ride.Space Mountain is best enjoyed if you sit in the front because you really feel the throttle that much more.If you are facing the Matterhorn bobsleds, the line on the left will land you in the bobsleds that are seemingly more jerky and for us that’s more fun!Also, If you can spend the money I also recommend building your very own lightsaber at Savi’s Workshop. It’s worth it.Obviously there’s so much you can do, eat and drink at Disneyland and this is only a glimpse of what it has to offer and everyone has their own thoughts and feelings on what their “favorites” are but this was a short note from my family and I.Overall, we enjoy everything about Disneyland and I’m sure you do/will too.",5/5,9 months ago on  Google
71,"I haven’t been since 2017 during Alumni night with CUF (Cal state Fullerton/my mom is an Alum) and decided to go with a few friends. Tickets to get into the park are outrageous so on that note, I’ll only go like once a year.Starwars Land is an absolute Must-SEE and DO! make sure to take cash so you don’t over spend since it’s very possible to get into the $200+ amount.It was the last week of August (31st to be exact) since prices were at the lowest I’ve seen in forever. Plus it was 101° around 10:30am cause literally nobody was there. Hardly any lines and fast pass worked so well.",5/5,2 months ago on  Google
72,"I always love everything about Disneyland. I recommend rope dropping Rise of the Resistance instead of paying for one time fastpasss. Instead, use the fastpasss for everything and you can use that all day long. I also recommend using single rider, this saves a lot of time especially on rides like Matterhorn that seats one per row.",5/5,9 months ago on  Google
73,"No matter how many times I come here it never gets old. Had to check out the StarWars land. So cool, especially at night. The attention to detail is incredible. The amount of stuff going on at any one time is enough to keep you plenty busy. Fireworks each night, light parades, and Over at California adventure you have the light show.",4/5,4 months ago on  Google
74,"It is always a wonderful experience when I go to Disneyland. It is indeed another world. Unfortunately though it feels like it is almost painful. Let me explain. It’s a really nice place to run away from the reality that you live and emerge in a complete different world. The down side is that not even in this magical world you get things easily like, you have to wait 30min avg to go in a ride for 1 min and the amount of money you spend with ticket, parking, food and merch is kinda salty. I would still recommend having a magical experience at Disneyland though 🤩",5/5,10 months ago on  Google
75,"It's neat and all, but I don't think it's worth traveling to California (or Florida), just for Disney. Most people do it because they like the nastalgia of it all or are into marvel movies. You could have just as much fun at six flags, the Houston rodeo, or schlitterbahn.",3/5,6 months ago on  Google
76,Amazing park! Buying Genie+ is recommended. Arrive early to the gates — park is open 30 min before the rides start (7:30 am) and you have a chance to run to your favorite place to avoid queuing. Parking is open 60 min before the rides start (7 am). Gust grab your coffee and a breakfast snack on the way and wait in front of it. Visited on Tuesday 24/05 and in the morning there were no crowds but starting 11 or so there were a looooot of ppl and waiting times climbed up from 15min to 45+ minutes,5/5,7 months ago on  Google
77,"Disneyland💚💙💛❤️💚💙💛❤️💚💙💛❤️💚Disneyland is a theme park that is so much fun,You can go on rides that are out in the sun.You can find Disneyland in the USAI’m sure at Disneyland you will a great day.Walt Disney is the creater of this great place,Walt Disney himself thought that would be ace.He passed away before it was all made,He definitely wouldn't want his memory to fade.Give a “Howdy” to Mickey and Minnie Mouse,As you reach the top of Tarzan’s house.Take a ride on a Mountain called Splash,And remember to bring plenty of cash.Disneyland is the happiest place on earth,A place we wish to go since the day of birth.There’s so much to do and so much to see,Fun for all ages one to ninety three.When the day grows long and the sky grows dark,We watch the fireworks before we leave the park.On one rail we venture out,Knowing all our dreams came true without a doubt",5/5,8 months ago on  Google
